Title,Publication Year,Domain,URL,URL Title,Extracted Content,Recommendation,URL Date Last Modified
Heritable Human Genome Editing,2023,hhs.gov,https://www.hhs.gov/sites/default/files/ohrp-international-compilation-2021-europe.pdf,International Compilation of Human Research Standards 2021 ...,Error processing PDF URL https://www.hhs.gov/sites/default/files/ohrp-international-compilation-2021-europe.pdf: Error downloading PDF.,"Recommendation 1: No attempt to establish a pregnancy with a human embryo that has undergone genome editing should proceed unless and until it has been clearly established that it is possible to efficiently and reliably make precise genomic changes without undesired changes in human embryos. These criteria have not yet been met, and further research and review would be necessary to meet them.",NaT
Heritable Human Genome Editing,2023,hhs.gov,https://www.hhs.gov/ohrp/sites/default/files/2020-international-compilation-of-human-research-standards.pdf,2020 International Compilation of Human Research Standards,Error processing PDF URL https://www.hhs.gov/ohrp/sites/default/files/2020-international-compilation-of-human-research-standards.pdf: Error downloading PDF.,"Recommendation 1: No attempt to establish a pregnancy with a human embryo that has undergone genome editing should proceed unless and until it has been clearly established that it is possible to efficiently and reliably make precise genomic changes without undesired changes in human embryos. These criteria have not yet been met, and further research and review would be necessary to meet them.",NaT
Heritable Human Genome Editing,2023,hhs.gov,https://www.hhs.gov/sites/default/files/ohrp-international-compilation-2021.pdf,"International Compilation of Human Research Standards, 2021 Edition",Error processing PDF URL https://www.hhs.gov/sites/default/files/ohrp-international-compilation-2021.pdf: Error downloading PDF.,"Recommendation 1: No attempt to establish a pregnancy with a human embryo that has undergone genome editing should proceed unless and until it has been clearly established that it is possible to efficiently and reliably make precise genomic changes without undesired changes in human embryos. These criteria have not yet been met, and further research and review would be necessary to meet them.",NaT
Heritable Human Genome Editing,2023,hhs.gov,https://www.hhs.gov/ohrp/sites/default/files/2019-International-Compilation-of-Human-Research-Standards.pdf,International Compilation of Human Research Standards,Error processing PDF URL https://www.hhs.gov/ohrp/sites/default/files/2019-International-Compilation-of-Human-Research-Standards.pdf: Error downloading PDF.,"Recommendation 1: No attempt to establish a pregnancy with a human embryo that has undergone genome editing should proceed unless and until it has been clearly established that it is possible to efficiently and reliably make precise genomic changes without undesired changes in human embryos. These criteria have not yet been met, and further research and review would be necessary to meet them.",NaT
Heritable Human Genome Editing,2023,hhs.gov,https://www.hhs.gov/ohrp/sites/default/files/2018-International-Compilation-of-Human-Research-Standards.pdf,International Compilation of Human Research Standards 2018 Edition,Error processing PDF URL https://www.hhs.gov/ohrp/sites/default/files/2018-International-Compilation-of-Human-Research-Standards.pdf: Error downloading PDF.,"Recommendation 1: No attempt to establish a pregnancy with a human embryo that has undergone genome editing should proceed unless and until it has been clearly established that it is possible to efficiently and reliably make precise genomic changes without undesired changes in human embryos. These criteria have not yet been met, and further research and review would be necessary to meet them.",NaT
Heritable Human Genome Editing,2023,nih.gov,https://pubmed.ncbi.nlm.nih.gov/33346718/,Heritable Human Genome Editing: The Public Engagement Imperative,"Heritable Human Genome Editing: The Public Engagement Imperative. In the view of many, heritable human genome editing (HHGE) harbors the remedial potential of ridding the world of deadly genetic diseases. A Hippocratic obligation, if there ever was one, HHGE is widely viewed as a life-sustaining proposition. The national go/no-go decision regarding the implementation of HHGE, however, must not, in the collective view of the authors, proceed absent thorough public engagement. A comparable call for an ""extensive societal dialogue"" was recently issued by the International Commission on the Clinical Use of Human Germline Genome Editing. In this communication, the authors lay out the foundational principles undergirding the formation, modification, and evaluation of public opinion. It is against this backdrop that the societal decision to warrant or enjoin the clinical conduct of HHGE will doubtlessly transpire.","Recommendation 2: Extensive societal dialogue should be undertaken before
a country makes a decision on whether to permit clinical use of heritable human
genome editing (HHGE). The clinical use of HHGE raises not only scientific and
medical considerations but also societal and ethical issues that were beyond the
Commission’s charge.",2020-12-01
Heritable Human Genome Editing,2023,nih.gov,https://pubmed.ncbi.nlm.nih.gov/34175039/,Making sense of heritable human genome editing: Scientific and ...,"Making sense of heritable human genome editing: Scientific and ethical considerations. Genome editing, particularly the use of CRISPR-Cas9-based methodologies, is revolutionizing biology through its impacts on research and the translation of these into applications in biomedicine. Somatic genome editing aimed at treating individuals with disease raises some significant ethical issues, but proposed heritable interventions, through the use of genome editing in gametes or embryos, raise a number of distinct social, ethical and political issues. This review will consider some proposed uses of heritable human genome editing (HHGE) and several of the objections to these that have been raised. Making sense of such proposed uses requires viewing HHGE as an assisted reproductive technology (ART) that, like preimplantation genetic testing (PGT) and mitochondrial replacement techniques (MRT), aims to prevent disease transmission during sexual reproduction, rather than acting as a therapy for an existing individual. Applications beyond the paradigm of disease prevention raise even more difficult scientific and ethical questions. Here, I will discuss various themes that are prominent in discussions of the science and ethics of HHGE, including impacts on human dignity and society, the language of HHGE used for public dialogue and the governance of HHGE.","Recommendation 2: Extensive societal dialogue should be undertaken before
a country makes a decision on whether to permit clinical use of heritable human
genome editing (HHGE). The clinical use of HHGE raises not only scientific and
medical considerations but also societal and ethical issues that were beyond the
Commission’s charge.",2021-01-01
Heritable Human Genome Editing,2023,nih.gov,https://pubmed.ncbi.nlm.nih.gov/32897669/,Heritable Human Genome Editing,"No title available. Heritable human genome editing — making changes to the genetic material of eggs, sperm, or any cells that lead to their development, including the cells of early embryos, and establishing a pregnancy — raises not only scientific and medical considerations but also a host of ethical, moral, and societal issues. Human embryos whose genomes have been edited should not be used to create a pregnancy until it is established that precise genomic changes can be made reliably and without introducing undesired changes — criteria that have not yet been met, says Heritable Human Genome Editing. From an international commission of the U.S. National Academy of Medicine, U.S. National Academy of Sciences, and the U.K.'s Royal Society, the report considers potential benefits, harms, and uncertainties associated with genome editing technologies and defines a translational pathway from rigorous preclinical research to initial clinical uses, should a country decide to permit such uses. The report specifies stringent preclinical and clinical requirements for establishing safety and efficacy, and for undertaking long-term monitoring of outcomes. Extensive national and international dialogue is needed before any country decides whether to permit clinical use of this technology, according to the report, which identifies essential elements of national and international scientific governance and oversight.","Recommendation 2: Extensive societal dialogue should be undertaken before
a country makes a decision on whether to permit clinical use of heritable human
genome editing (HHGE). The clinical use of HHGE raises not only scientific and
medical considerations but also societal and ethical issues that were beyond the
Commission’s charge.",2020-09-03
Heritable Human Genome Editing,2023,nih.gov,https://pubmed.ncbi.nlm.nih.gov/37499063/,Third International Summit on Human Genome Editing: Expanding ...,"No title available. On March 6–8, 2023, at the Francis Crick Institute in London, the UK Royal Society and Academy of Medical Sciences, the U.S. National Academy of Sciences and National Academy of Medicine, and UNESCO–The World Academy of Sciences held the Third International Summit on Human Genome Editing. A follow-up to earlier international summits held in Washington, DC, in 2015 and in Hong Kong in 2018, the third summit examined scientific advances that have occurred since the previous summits and the need for global dialogue and collaboration on the safe and ethical application of human genome editing. The first two days of the summit focused largely on somatic human genome editing, where the cells being altered are non-reproductive cells — as a result genetic changes cannot be passed on to future generations. The third day of the summit broadened the discussion to include heritable human genome editing, in which genetic changes could be passed on to descendants. This publication highlights the presentations and discussion of the event.","Recommendation 2: Extensive societal dialogue should be undertaken before
a country makes a decision on whether to permit clinical use of heritable human
genome editing (HHGE). The clinical use of HHGE raises not only scientific and
medical considerations but also societal and ethical issues that were beyond the
Commission’s charge.",2023-07-10
Heritable Human Genome Editing,2023,nih.gov,https://www.nih.gov/news-events/gene-editing-digital-press-kit,Gene Editing – Digital Media Kit | National Institutes of Health (NIH),"Site Menu You are here News & Events Gene Editing – Digital Media Kit In this kit: Genome Editing in ResearchGenome Editing in the ClinicEthical and Safety ConcernsGenome Editing and NIH FundingImagesVideoAdditional Resources Genome editing, also called gene editing, is an area of research seeking to modify genes of living organisms to improve our understanding ofgenefunction and develop ways to use it to treat genetic or acquired diseases. Genome editing can be used to correct, introduce or delete almost anyDNAsequence in many different types of cells and organisms. While techniques to modify DNA have existed for several decades, new methods have made genome editing faster, cheaper and more efficient. Genome editing builds on an earlier discovery that a broken section of DNA in a gene triggers a cell’s repair mechanism to stitch together the break. Genome editing allows researchers to mimic this natural process of DNA repair. Advanced genome editing methods engineered from proteins include zinc-finger nucleases (ZFNs), transcription activator-like effector nucleases (TALENs), and meganucleases. An additional method is called clustered regularly interspaced short palindromic repeats, also known as CRISPR/Cas9. CRISPR/Cas9 is the most widely used genome editor and is a powerful tool for understanding gene function. Because CRISPR/Cas9 is an RNA-based system, it can be more efficiently and easily modified than the protein-based approaches and allows for targeting of multiple sites. CRISPR was discovered through NIH-funded basic research on how bacteria defend themselves from viruses.CRISPR/Cas9 worksby cutting a DNA sequence at a specific genetic location and deleting or inserting DNA sequences, which can change a single base pair of DNA, large pieces of chromosomes, or regulation of gene expression levels. Genome Editing in Research Genome editing is widely used in studies in a variety of organisms. For example, CRISPR is used to make“knockout” modelsof disease in a wide range of animals, enabling researchers to study the underlying genetic causes. It also is being used to change genes in certain tissues or organs, facilitate the study of diseases by focusing on culprit genes, create cell models of disease such as inhuman pluripotent stem cellsand inactivate viruses in pigs so that pig organs could potentially be used as a source of replacement organs for humans. It also is being explored to modify yeast cells to make biofuels and to improve strains of agricultural crops.Gene drive technology using CRISPRallows for the spread of engineered traits through populations of sexually reproducing organisms at a rate more rapid than what occurs in natural evolution. This research could be applied to alter mosquito populations to help interfere with the transmission of infectious diseases. Genome Editing in the Clinic NIH supports human gene therapy research, including genome editing approaches in somatic cells, for a wide array of diseases and conditions with grants, contracts and targeted efforts, such as theSomatic Cell Genome Editing Program. Somatic cells are any cells not involved in human reproduction. This means that changes in somatic cells are not inherited by subsequent generations. CRISPR and other gene editing methods, especially ZFNs, are speeding gene therapy approaches to treat many human conditions. In 2014, the first clinical application of genome editing involved the use of ZFNs to make human cells resistant to HIV-1 by disrupting a gene required for the virus to infect cells. In 2017, a clinical trial testing ZFNs to correct Hunter syndrome (MPS II) was launched. Caused by an enzyme deficiency, Hunter syndrome can cause abnormalities in the skeleton, heart and respiratory system.  The clinical trial was the first genome editing approach administered directly to research participants. TALENs are being studied inT cell immunotherapyapproaches to create “off-the-shelf” universal donor T cells that don’t have to be developed for each cancer patient. Genome editing approaches are also being pursued as part of NIH’sCure Sickle Cell Initiative, and CRISPR is being used as a diagnostic tool to detect viruses such as Zika and dengue.  In October 2019, NIH and the Bill and Melinda Gates Foundationannounced a collaborationto support studies to advance the development of gene-based approaches to cure sickle cell disease and HIV. Ethical and Safety Concerns Applications of genome editing have raised scientific, safety, ethical and policy concerns.NIH does not fund any use of genome editing in human embryos. The Dickey-Wicker amendment prohibits the use of Congressionally appropriated funds for the creation of human embryos for research purposes or for research in which human embryos are destroyed. Additionally, serious and unquantifiable safety and ethical issues presented by altering the germline in ways that affect the next generation without consent, and a current lack of compelling medical applications, do not justify the use of genome editing in embryos. In 2017, the National Academies of Science, Engineering, and Medicine (NASEM) issued a report,Human Genome Editing: Science, Ethics, and Governance (2017),(link is external)which recommended that clinical trials using gene editing in embryos should be permitted only within a robust and effective regulatory framework and only when certain criteria are met. However, in November 2018, Chinese scientist He Jiankui announced that he had used the CRISPR/Cas9 technique to create the first genome edited babies, claiming to have disabled copies of a gene in the embryos to confer HIV resistance. This work raised serious questions of medical necessity, off-target effects and the potential for susceptibility to other infections. It led to nearly universal condemnation by the international scientific community, and the NIH Director issued astatementexpressing serious concerns about the claim and urging continued international dialogue.  On March 14, 2019, the NIH Director issued astatementsupporting the call for an international moratorium on research establishing human pregnancies using germline-edited embryos. NIH continues to be involved in ongoing efforts by theWorld Health Organization(link is external)and sponsored a study of theNASEM/Royal Society of the United Kingdom(link is external)to examine the issues associated with human gene editing and develop global governance and oversight approaches. As discussed in theDirector’s blog, the international commission concluded in the report,Heritable Human Genome Editing(link is external)(link is external)released in September 2020, that clinical use of heritable human gene editing should not be considered until it has been established that it is possible to make precise genomic changes efficiently and reliably without undesired changes in human embryos. If permitted, use should be limited to serious monogenic diseases. The report also included recommendations for scientific governance and oversight including the establishment of an international scientific advisory panel. In many cases, the safety and bioethical concerns raised by the use of CRISPR/Cas9 in somatic gene therapy are like those first discussed at the emergence of recombinant DNA technology and human gene therapy. These concerns are well addressed in current oversight structures. For instance, in the United States, well-established oversight frameworks and the U.S. Food and Drug Administration’s (FDA) regulatory authority over human gene therapy trials would apply to clinical research involving genome editing of somatic cells in humans. Additionally, biosafety guidance for the conduct of genome editing research is provided by theNIH Guidelines for Research Involving Recombinant or Synthetic Nucleic Acid Molecules. The potential effects of gene drives on individual species and the environment have also raised biosafety, biosecurity and ethical concerns. A NASEM report,Gene Drives on the Horizon: Advancing Science, Navigating Uncertainty, and Aligning Research with Public Values (2016)(link is external), which was partially funded by NIH, explored the responsible conduct of gene drive research. In a2016 statement by the NIH Director, NIH supported the report’s recommendations to continue basic and applied research on gene drives, hold off on current release of gene drive-modified organisms into the environment, have funders coordinate to encourage responsible development of gene drive technology and prioritize stakeholder engagement in decision-making. Genome Editing and NIH Funding While NIH can’t precisely quantify the amount of NIH funding that supported the development of CRISPR given its evolutionary development, it is hundreds of millions of dollars. Genome editing technology is being used widely as a research tool across NIH-funded projects and mostNIH Institutes and Centersfund such research. However, identifying precise levels of funding for a technique with so many uses is difficult. That is because searching the terms, “genome or gene editing,” “CRISPR,” etc., inNIH RePORTER, a database of NIH-funded research, is comparable to searching a term such as “DNA sequencing.” If used as a research tool, some researchers may mention it in their RePORTER entry, while others may not. Also, research that results from a search on the word “CRISPR” does not necessarily mean that CRISPR is used in the research. For example, a researcher may reference CRISPR in the RePORTER summary, but may not be using it in the research. Images CRISPR-Cas9 is a customizable tool that lets scientists cut and insert small pieces of DNA at precise areas along a DNA strand. This lets scientists study our genes in a specific, targeted way. In the gene-editing tool CRISPR, a small strand of RNA identifies a specific chunk of DNA. Then the enzyme Cas9 (green) swoops in and cuts the double-stranded DNA (blue/purple) in two places, removing the specific chunk. CRISPR-Cas9 is a customizable tool that lets scientists cut and insert small pieces of DNA at precise areas along a DNA strand. The tool is composed of two basic parts: the Cas9 protein, which acts like the wrench, and the specific RNA guides, CRISPRs, which act as the set of different socket heads. These guides direct the Cas9 protein to the correct gene, or area on the DNA strand, that controls a particular trait. This lets scientists study our genes in a specific, targeted way and in real-time. The CRISPR system has two components joined together: a finely tuned targeting device (a small strand of RNA programmed to look for a specific DNA sequence) and a strong cutting device (an enzyme called Cas9 that can cut through a double strand of DNA). Once inside a cell, the CRISPR system locates the DNA it is programmed to find. The CRISPR seeking device recognizes and binds to the target DNA (circled, black). The Cas9 enzyme cuts both strands of the DNA Researchers can insert into the cell new sections of DNA. The cell automatically incorporates the new DNA into the gap when it repairs the broken DNA. CRISPR has many possible uses, including insert a new gene so the organism produces useful medicines; help treat genetic diseases; create tailor-made organisms to study human diseases; and help produce replacements for damaged or diseased tissues and organs. Video NIH Director Dr. Francis Collins talks about the importance of somatic cell gene editing and how it could be used to combat genetic diseases. If you would like the files of the video clips, please contactWole Akinso(link sends e-mail). Genome editing using CRISPR/Cas9 How clinical gene editing works Potential of gene editing for genetic diseases Ethical considerations for gene editing Additional Resources This page last reviewed on November 5, 2020 Connect with Us","Recommendation 2: Extensive societal dialogue should be undertaken before
a country makes a decision on whether to permit clinical use of heritable human
genome editing (HHGE). The clinical use of HHGE raises not only scientific and
medical considerations but also societal and ethical issues that were beyond the
Commission’s charge.",2020-11-05
